11:25:14 INFO  manager.ApplicationManager - All tests start in Chrome
11:25:35 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3]
11:25:35 INFO  manager.MyListener - Element with locator-->By.xpath: //*[text()='Forms']/ancestor::div[3] was found
11:25:35 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div.element-list.collapse.show
11:25:36 INFO  manager.MyListener - Element with locator-->By.cssSelector: div.element-list.collapse.show was found
11:25:36 INFO  tests.Base - Starts test named:--> fillStudentRegistrationForm
11:25:36 INFO  manager.MyListener - Start to find element with locator-->By.id: firstName
11:25:36 INFO  manager.MyListener - Element with locator-->By.id: firstName was found
11:25:37 INFO  manager.MyListener - Start to find element with locator-->By.id: lastName
11:25:37 INFO  manager.MyListener - Element with locator-->By.id: lastName was found
11:25:37 INFO  manager.MyListener - Start to find element with locator-->By.id: userEmail
11:25:37 INFO  manager.MyListener - Element with locator-->By.id: userEmail was found
11:25:38 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //label[@for='gender-radio-2']
11:25:38 INFO  manager.MyListener - Element with locator-->By.xpath: //label[@for='gender-radio-2'] was found
11:25:39 INFO  manager.MyListener - Start to find element with locator-->By.id: userNumber
11:25:39 INFO  manager.MyListener - Element with locator-->By.id: userNumber was found
11:25:39 INFO  manager.MyListener - Start to find element with locator-->By.id: dateOfBirthInput
11:25:39 INFO  manager.MyListener - Element with locator-->By.id: dateOfBirthInput was found
11:25:40 INFO  tests.Base - Finished test named:--> fillStudentRegistrationForm
